address,discord,github
0x8FA26CDA1a3a8C0c89d01261689a63418D436d24,yurenju#7837,yurenju
0x9A76D78F203Ec6f7289bB0178cb6C25f18A9911E,hydai#7494,hydai
0x9b98b59388BDcf8DBaC81bB7f3CD6910b712f85e,iisaint#2946,iisaint
0x0b7bB1A65B9400a2A3271FCbF0443d85871231E3,seanlin#2738,quesalltime
0xfDa995Eb398750319a2D5E8A4766c02e54db24b8,gasolin#7573,gasolin
0x8865d9736Ad52c6cdBbEA9bCd376108284CFd0e4,Moojing#3170,moojing
0x352a9D61537063781d5bdAb36E8dcCF540d6a595,kimi wu#2797,kimiwu123
0x96A4715280c3Dac3F3093d51aA278aA5eb60ffDE,Johnson#4924,chnejohnson
0x9d1870D70f197Bdf59b996bB31A20ffED2fFCa87,Jiekai#9348,zjiekai
0x66fA22aEfb2cF14c1fA45725c36C2542521C0d3E,Wias Liaw#9760,wiasliaw
0x81e9d67543Fae31CEbeB47C9ffBb0Cd67c4475c6,ccwang#1495,a2468834
